record,type,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval,0_qrs_morph0,0_qrs_morph1,0_qrs_morph2,0_qrs_morph3,0_qrs_morph4,1_pre-RR,1_post-RR,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval,1_qrs_morph0,1_qrs_morph1,1_qrs_morph2,1_qrs_morph3,1_qrs_morph4
I01,VEB,99,250,0.170891479,0.336978608,-0.27756973,-0.748872496,-0.27756973,4,4,15,7,-0.27756973,-0.27756973,-0.476918844,-0.645896989,-0.744689036,99,250,0.022697853,0.136773298,0.617506676,0.122279659,0.019991107,22,3,27,2,0.019991107,0.101115153,0.373832633,0.617506676,0.343219764
I01,VEB,99,255,0.132291558,0.340284982,-0.307390374,-0.770834631,-0.307390374,4,4,15,7,-0.307390374,-0.307390374,-0.506848207,-0.671944842,-0.766535958,99,255,0.032060215,-0.351607671,0.652017053,-0.497429007,0.029454948,37,3,47,7,0.029454948,0.124597113,0.611735689,0.202821798,0.070283137
I01,VEB,117,241,-0.115541912,0.249067549,0.281552544,-0.595846553,-0.127130612,23,4,33,6,-0.127130612,-0.083713447,0.00304542,0.208590398,0.065235974,117,241,0.045107268,0.172343353,0.635814744,0.137246634,0.034802558,20,3,27,4,0.034802558,0.131769315,0.413230001,0.635814744,0.382606627
I01,VEB,100,251,0.154176958,0.323609987,-0.335612522,-0.793368834,-0.335612522,3,4,15,8,-0.335612522,-0.335612522,-0.540969626,-0.540969626,-0.705874965,100,251,0.024933585,0.150579585,0.651850571,0.147520761,0.024277781,23,1,25,1,0.024277781,0.069795797,0.395253571,0.651850571,0.345186354
I01,VEB,105,247,0.097175942,0.202065424,-0.367577143,-0.794762772,-0.367577143,3,5,15,7,-0.367577143,-0.367577143,-0.563981385,-0.563981385,-0.720894615,105,247,0.008470192,0.204858379,0.643280702,0.129362443,0.001619335,25,3,32,4,0.001619335,0.01291589,0.215814802,0.595532724,0.440900796
I01,VEB,121,229,0.25489252,0.260995345,-0.130274284,-0.755287252,-0.130274284,4,4,15,7,-0.130274284,-0.130274284,-0.347186264,-0.554726016,-0.703371422,121,229,0.018826633,0.184192895,0.676614719,0.14478586,0.003056069,21,9,33,3,0.003056069,0.078877432,0.336246201,0.646879936,0.497919099
I01,VEB,106,241,0.042235518,0.259271363,-0.035834842,-0.786731853,-0.035834842,5,2,15,8,-0.035834842,-0.149857921,-0.317265348,-0.510925671,-0.684198707,106,241,-0.010064261,0.248499594,0.671138381,0.097300942,-0.043232052,20,5,30,5,-0.043232052,0.106091378,0.368784595,0.612619105,0.50269206
I01,VEB,123,237,-0.028142431,0.312168502,0.287466525,-0.770959226,-0.030681239,16,2,25,7,-0.030681239,0.008153618,0.17803369,0.287466525,-0.090060051,123,237,0.020373229,0.132201756,0.556153976,0.09277054,0.01443783,18,3,24,3,0.01443783,0.123257629,0.420146249,0.556153976,0.310723088
I01,VEB,106,246,0.169182116,0.309958814,-0.391719494,-0.712541977,-0.391719494,3,5,15,7,-0.391719494,-0.391719494,-0.567884726,-0.567884726,-0.685709953,106,246,0.069252923,0.124499228,0.550245701,0.089192474,0.029595077,21,6,30,3,0.029595077,0.093276681,0.324732443,0.549869943,0.357920315
I01,VEB,102,251,0.13665848,0.325594593,-0.598442899,-0.890521354,-0.598442899,3,6,16,7,-0.598442899,-0.598442899,-0.77674684,-0.77674684,-0.881838415,102,251,0.021187469,0.051378879,0.611228729,0.041689267,0.020182962,27,3,32,2,0.020182962,0.025125234,0.132862088,0.581183984,0.384028291
I01,VEB,104,256,0.155624574,0.335186223,-0.365069381,-0.76770614,-0.365069381,3,5,16,8,-0.365069381,-0.365069381,-0.556202842,-0.556202842,-0.701833478,104,256,0.050214409,0.0911615,0.632462414,0.073481187,0.046593081,25,4,32,3,0.046593081,0.058152859,0.269658783,0.615885631,0.34787358
I01,VEB,101,258,0.127110482,0.343536444,-0.446306512,-0.913500783,-0.446306512,3,5,17,9,-0.446306512,-0.446306512,-0.656464561,-0.656464561,-0.823834905,101,258,0.01826555,0.038077643,0.614054525,0.028808018,0.015838995,25,3,30,2,0.015838995,0.051870608,0.299861206,0.614054525,0.294175184
I01,VEB,103,262,0.135789381,0.319992346,-0.527643932,-0.800749643,-0.527643932,3,5,15,7,-0.527643932,-0.527643932,-0.696380485,-0.696380485,-0.794743657,103,262,-0.065676471,0.085150762,0.6133904,0.076214129,-0.095456982,52,6,61,3,-0.095456982,-0.070005239,0.015269184,0.034273074,0.527775085
I01,VEB,101,268,0.094125841,0.322596878,-0.667448538,-0.919236666,-0.667448538,2,6,17,9,-0.667448538,-0.667448538,-0.667448538,-0.831700287,-0.831700287,101,268,0.026854001,-0.335461138,0.654988577,-0.481835963,0.013581987,35,4,48,9,0.013581987,0.18458162,0.654988577,0.152158204,-0.012561839
I01,VEB,105,260,0.152046523,0.336464757,-0.393956323,-0.830857106,-0.393956323,3,5,16,8,-0.393956323,-0.393956323,-0.597589552,-0.597589552,-0.755575555,105,260,0.039715982,0.077285241,0.59137195,0.067672372,0.039326912,26,2,31,3,0.039326912,0.042202227,0.161805403,0.520902402,0.447492695
I01,VEB,109,253,0.171035284,0.253323216,-0.396151336,-0.842795287,-0.396151336,3,5,16,8,-0.396151336,-0.396151336,-0.609575239,-0.609575239,-0.771537673,109,253,0.102457834,0.18561999,0.59054014,0.126492398,0.024683997,20,5,29,4,0.024683997,0.238031923,0.490868136,0.59054014,0.395130018
I01,VEB,101,259,0.121625999,0.342655508,-0.594432462,-0.980208994,-0.594432462,3,5,16,8,-0.594432462,-0.594432462,-0.798200028,-0.798200028,-0.936312623,101,259,0.0325922,0.042469259,0.662623857,0.01492281,-0.01565293,22,7,32,3,-0.01565293,0.078015841,0.358388759,0.662623857,0.387745482
I01,VEB,102,256,0.16862473,0.32078663,-0.262762331,-0.79936007,-0.262762331,4,4,15,7,-0.262762331,-0.262762331,-0.469187388,-0.652984485,-0.77240846,102,256,0.040410965,0.085139043,0.63730443,0.0615412,0.006806758,22,5,30,3,0.006806758,0.064733322,0.293296309,0.631887673,0.423449788
I01,VEB,102,251,0.177421346,0.39747427,-0.445798321,-0.907341858,-0.445798321,3,5,16,8,-0.445798321,-0.445798321,-0.664109864,-0.664109864,-0.829628836,102,251,0.035816743,-0.337163214,0.618142701,-0.460846951,0.027320969,34,4,44,6,0.027320969,0.165548526,0.618142701,0.062938574,-0.070619313
I01,VEB,101,250,0.118305168,0.344088525,-0.33430887,-0.752986991,-0.33430887,3,4,15,8,-0.33430887,-0.33430887,-0.523647254,-0.523647254,-0.674428895,101,250,0.11647328,0.015894539,0.624083157,0.008135977,-0.062016562,25,6,33,2,-0.062016562,0.068260242,0.345357471,0.624023403,0.25143673
I01,VEB,103,248,0.174494501,0.385684534,-0.244931833,-0.784939492,-0.244931833,4,4,16,8,-0.244931833,-0.244931833,-0.45313485,-0.636241237,-0.754056061,103,248,0.061503855,0.126247243,0.595731367,0.096510526,0.060896845,21,1,25,3,0.060896845,0.133380953,0.43695684,0.595731367,0.340932661
I01,VEB,104,251,0.183396021,0.375936053,-0.353429156,-0.841417206,-0.353429156,4,5,17,8,-0.353429156,-0.353429156,-0.562822982,-0.736080915,-0.836189381,104,251,0.053877505,0.136835631,0.684856247,0.13224396,0.047048508,23,3,27,1,0.047048508,0.122143905,0.413678876,0.67242762,0.353280479
I01,VEB,101,258,0.085108083,0.261202871,-0.588122693,-0.947535641,-0.588122693,3,5,16,8,-0.588122693,-0.588122693,-0.787499139,-0.787499139,-0.916515273,101,258,0.084001008,0.148782793,0.865118918,0.132556789,0.081609765,22,2,27,3,0.081609765,0.129566005,0.364109262,0.865118918,0.481287379
I01,VEB,101,255,0.154335516,0.481447946,-0.344168904,-0.786489348,-0.344168904,3,4,16,9,-0.344168904,-0.344168904,-0.545571851,-0.545571851,-0.703346024,101,255,0.038614838,0.161269919,0.709808217,0.121219451,0.006073291,21,5,29,3,0.006073291,0.109548211,0.422721007,0.686380758,0.519131543
I01,VEB,102,254,0.152292903,0.379316564,-0.462348612,-0.905678143,-0.462348612,3,5,17,9,-0.462348612,-0.462348612,-0.671714829,-0.671714829,-0.83030947,102,254,-0.049751848,0.095045556,0.6044064,0.080891187,-0.056151538,24,4,30,2,-0.056151538,-0.002436997,0.251620654,0.58317095,0.323897942
I01,VEB,104,248,0.339681596,0.582544028,-0.033326028,-0.521423359,-0.033326028,4,4,15,7,-0.033326028,-0.033326028,-0.226581355,-0.398321958,-0.506058755,104,248,0.032816339,0.109110739,0.585752806,0.100090485,0.011793519,23,8,33,2,0.011793519,0.033415417,0.276830692,0.543323766,0.405418133
I01,VEB,107,247,0.193083137,0.302209947,-0.139497953,-0.637186647,-0.139497953,4,4,15,7,-0.139497953,-0.139497953,-0.327101443,-0.497859517,-0.610716392,107,247,0.035080177,0.075913386,0.483459395,0.074513763,0.008588885,20,4,26,2,0.008588885,0.114450668,0.364044238,0.466021945,0.176347913
I01,VEB,110,246,0.261844475,0.254539319,-0.161541176,-0.686397161,-0.161541176,4,4,15,7,-0.161541176,-0.161541176,-0.371560557,-0.554320483,-0.66821537,110,246,-0.001037121,0.244115412,0.62675524,0.230993097,-0.023925186,28,5,36,3,-0.023925186,0.001388307,0.140063551,0.486216054,0.535621663
I01,VEB,110,249,0.261938981,0.336852686,-0.033950836,-0.637089698,-0.033950836,4,4,15,7,-0.033950836,-0.033950836,-0.223131447,-0.416106317,-0.567435897,110,249,0.05995954,0.266417403,0.706711747,0.195612969,0.056956324,22,3,28,3,0.056956324,0.145137506,0.420708713,0.706711747,0.48123345
I01,VEB,114,241,0.257629158,0.325224592,-0.091219176,-0.615837997,-0.091219176,4,4,15,7,-0.091219176,-0.091219176,-0.291437938,-0.475717507,-0.59557396,114,241,0.026280508,0.193275754,0.631129859,0.139205511,-0.003872064,26,6,35,3,-0.003872064,0.028056244,0.224058434,0.57295183,0.481302678
I01,VEB,103,250,0.091478715,0.333837757,-0.438054307,-0.817232805,-0.438054307,3,4,15,8,-0.438054307,-0.438054307,-0.629131863,-0.629131863,-0.765646366,103,250,0.099136098,-0.334190828,0.688336576,-0.493358216,0.064738517,33,7,46,6,0.064738517,0.425387038,0.618586962,0.155758949,-0.044921403
I01,VEB,107,249,0.221527216,0.352434187,-0.201778853,-0.634967448,-0.201778853,3,4,15,8,-0.201778853,-0.201778853,-0.394422363,-0.394422363,-0.551497355,107,249,0.035837931,0.134649351,0.588007492,0.115305197,-0.050558083,24,10,37,3,-0.050558083,0.031470471,0.263206442,0.554819412,0.38578381
I01,VEB,110,246,0.551314621,0.399405005,0.504533006,-0.454742144,0.090978993,28,22,57,7,0.090978993,0.127828255,0.218695289,0.338289648,0.449272225,110,246,0.061897266,0.122164061,0.573503518,0.10873608,0.054756925,35,5,42,2,0.054756925,0.070528899,0.107438628,0.367348067,0.476910656
I01,VEB,116,241,-0.035699949,0.409309559,0.31442567,-0.619146917,-0.073340077,16,4,27,7,-0.073340077,0.046630133,0.254451483,0.304905478,0.004367653,116,241,0.018417553,0.170349012,0.557170653,0.122043069,-0.005405862,22,4,30,4,-0.005405862,0.050619901,0.261764305,0.550818211,0.387680605
I01,VEB,104,253,0.185402791,0.421504933,-0.263893419,-0.727845618,-0.263893419,4,5,17,8,-0.263893419,-0.263893419,-0.455709081,-0.617667877,-0.714264468,104,253,0.167366096,0.210245238,0.722700185,0.181434916,0.120791468,18,4,26,4,0.120791468,0.198403407,0.515382054,0.721199455,0.480841202
I01,VEB,108,251,0.193415833,0.329404333,-0.569764472,-0.666404317,-0.569764472,2,6,15,7,-0.569764472,-0.569764472,-0.569764472,-0.665946608,-0.665946608,108,251,0.048186708,0.235305384,0.750097442,0.207607416,-0.002315718,22,5,30,3,-0.002315718,0.131769367,0.391620233,0.750097442,0.513256969
I01,VEB,109,242,0.254910042,0.321470653,-0.023106911,-0.586887228,-0.023106911,4,4,15,7,-0.023106911,-0.023106911,-0.199091759,-0.380499607,-0.522686055,109,242,0.077233254,0.167221659,0.547164116,0.152448367,0.032527334,24,7,34,3,0.032527334,0.035306123,0.162999561,0.472085428,0.470032107
I01,VEB,115,236,0.358431004,0.289353311,-0.024218344,-0.684444689,-0.024218344,4,4,15,7,-0.024218344,-0.024218344,-0.231907266,-0.436310038,-0.598541645,115,236,0.059910037,0.204313865,0.506367518,0.157496101,0.014414963,21,10,35,4,0.014414963,0.058466201,0.251126081,0.449609077,0.437521083
I01,VEB,105,248,0.121789647,0.209975906,-0.364606599,-0.796310681,-0.364606599,3,5,17,9,-0.364606599,-0.364606599,-0.560011074,-0.560011074,-0.71775561,105,248,0.016280762,0.083336372,0.612464899,0.032887584,-0.046473395,27,5,35,3,-0.046473395,0.019703135,0.16029553,0.574330219,0.430225184
I01,VEB,116,237,0.202080512,0.525555069,0.414542732,-0.396025877,0.178801435,17,3,27,7,0.178801435,0.219744063,0.342451078,0.401042663,0.12793705,116,237,0.023490635,0.207398342,0.618387724,0.08805208,-0.048814656,28,5,38,5,-0.048814656,0.045445663,0.099142155,0.312926032,0.597495595
I01,VEB,115,230,0.181255135,0.255534911,-0.291595525,-0.675692612,-0.291595525,3,4,15,8,-0.291595525,-0.291595525,-0.481366371,-0.481366371,-0.621819633,115,230,0.055592108,0.241176795,0.589583022,0.093632704,0.055222779,19,1,25,5,0.055222779,0.101301696,0.353177864,0.589583022,0.365252141
I01,VEB,105,237,0.161087673,0.259171453,-0.3970494,-0.725340374,-0.3970494,3,6,17,8,-0.3970494,-0.3970494,-0.565576239,-0.565576239,-0.683129188,105,237,0.040305696,0.197034163,0.522561291,0.18695166,0.015487979,25,5,32,2,0.015487979,0.051184579,0.194783611,0.505917366,0.360289407
I01,VEB,111,233,0.306337892,0.276441848,-0.154106953,-0.637003558,-0.154106953,4,4,15,7,-0.154106953,-0.154106953,-0.358436998,-0.530904654,-0.631545639,111,233,0.052535851,0.110920889,0.486678353,0.077890521,0.0029377,21,6,30,3,0.0029377,0.082100594,0.317864344,0.486678353,0.281617822
I01,VEB,106,253,0.165900141,0.355331091,-0.312175677,-0.75433719,-0.312175677,3,4,15,8,-0.312175677,-0.312175677,-0.512345657,-0.512345657,-0.671935725,106,253,0.020441267,-0.307915168,0.636844867,-0.500146955,0.006691478,34,7,47,6,0.006691478,0.23487316,0.636844867,0.201766471,0.054992658
I01,VEB,108,250,0.239143168,0.319711424,-0.137973543,-0.617813289,-0.137973543,4,4,14,6,-0.137973543,-0.137973543,-0.33450773,-0.50623651,-0.609620184,108,250,0.021022054,0.12245083,0.569732173,0.097739755,0.001146393,21,4,28,3,0.001146393,0.089787779,0.381873305,0.569732173,0.322960026
I01,VEB,111,245,0.178438101,0.320433485,-0.137617155,-0.645951441,-0.137617155,4,4,15,7,-0.137617155,-0.137617155,-0.318161638,-0.491368098,-0.612640356,111,245,0.062528921,0.159562889,0.611033525,0.124136637,0.040852798,23,4,31,4,0.040852798,0.059650052,0.312895599,0.585590949,0.393918287
I01,VEB,109,250,0.180243527,0.415555072,-0.219233355,-0.605411098,-0.219233355,3,5,16,8,-0.219233355,-0.219233355,-0.388641669,-0.388641669,-0.52980088,109,250,0.068647632,0.119103953,0.621437745,0.102314161,0.0443956,22,4,28,2,0.0443956,0.124708408,0.366392586,0.621437745,0.359787382
I01,VEB,110,249,0.103406007,0.35127384,-0.358312185,-0.62789878,-0.358312185,3,6,16,7,-0.358312185,-0.358312185,-0.508534898,-0.508534898,-0.608756856,110,249,0.085795937,0.119038084,0.6068544,0.083705276,0.063124486,21,8,32,3,0.063124486,0.145193643,0.431729125,0.6068544,0.364578499
I01,VEB,114,234,0.158752011,0.324075645,-0.120751933,-0.659851867,-0.120751933,4,3,14,7,-0.120751933,-0.120751933,-0.30868878,-0.491269849,-0.620253744,114,234,0.04052703,0.161108603,0.545014047,0.051685433,-0.003919124,24,8,37,5,-0.003919124,0.002390479,0.20004246,0.521809411,0.375638891
I01,VEB,107,256,0.110883511,0.302664676,-0.343596144,-0.76101968,-0.343596144,3,5,15,7,-0.343596144,-0.343596144,-0.531337852,-0.531337852,-0.683554479,107,256,0.037053344,0.156677611,0.696983947,0.106163214,0.023457384,24,4,31,3,0.023457384,0.053849439,0.253515031,0.657318207,0.458013773
I01,VEB,102,255,0.166615035,0.37831754,-0.334117852,-0.76847532,-0.334117852,3,4,16,9,-0.334117852,-0.334117852,-0.530295504,-0.530295504,-0.685088645,102,255,0.010960286,-0.348846619,0.624682908,-0.484974881,-0.033103519,35,4,49,10,-0.033103519,0.245645607,0.62375582,0.198229273,0.022105252
I01,VEB,116,248,0.27207994,0.224688977,-0.089542447,-0.625511179,-0.089542447,4,4,15,7,-0.089542447,-0.089542447,-0.299582577,-0.487646762,-0.605916383,116,248,0.019076851,0.199000563,0.588299485,0.166397493,-0.008530689,24,4,31,3,-0.008530689,0.041522839,0.251609949,0.560874246,0.384172084
I01,VEB,105,257,0.138498797,0.368274953,-0.316725324,-0.774604232,-0.316725324,4,4,15,7,-0.316725324,-0.316725324,-0.517193957,-0.679793919,-0.77063739,105,257,0.023512845,-0.389404589,0.706509114,-0.485658184,0.014035928,32,5,43,6,0.014035928,0.300084306,0.685256243,0.119903596,0.013041197
I01,VEB,104,253,0.114171934,0.387872991,-0.228748026,-0.749925478,-0.228748026,4,4,15,7,-0.228748026,-0.228748026,-0.423298372,-0.600380441,-0.718049376,104,253,0.021457389,0.110410809,0.600743166,0.083878039,-0.031145437,22,5,30,3,-0.031145437,0.144178129,0.401357771,0.600743166,0.354243549
I01,VEB,106,249,0.074909062,0.409103503,-0.247588748,-0.674449074,-0.247588748,4,4,15,7,-0.247588748,-0.247588748,-0.421528623,-0.573186996,-0.665407626,106,249,0.057957243,0.099632651,0.633202958,0.097991329,0.040508514,30,4,35,1,0.040508514,0.08504144,0.205452181,0.58688052,0.352767801
I01,VEB,105,246,0.123972356,0.397830943,-0.12536264,-0.646467772,-0.12536264,4,3,14,7,-0.12536264,-0.12536264,-0.304637875,-0.48322676,-0.611217845,105,246,0.047811895,0.102107021,0.601292866,0.057334955,0.003415239,28,5,36,3,0.003415239,0.044177231,0.084925334,0.36140681,0.485678638
I01,VEB,104,241,0.156043908,0.342322724,-0.108147655,-0.738334652,-0.108147655,5,3,15,7,-0.108147655,-0.285278132,-0.472069848,-0.632058287,-0.729381837,104,241,0.048696764,0.179138303,0.62411439,0.13326123,0.028135518,21,4,29,4,0.028135518,0.113095463,0.392052892,0.622010307,0.414174338
I01,VEB,110,250,0.19899187,0.300711915,-0.082381286,-0.620924053,-0.082381286,4,3,14,7,-0.082381286,-0.082381286,-0.26636154,-0.444443455,-0.573214193,110,250,0.031599775,0.174257676,0.613439977,0.109704164,0.023604736,23,4,31,4,0.023604736,0.048418431,0.336380154,0.589383003,0.380477113
I01,VEB,104,247,0.283407265,0.295120822,-0.222021189,-0.664087593,-0.222021189,3,5,16,8,-0.222021189,-0.222021189,-0.423260169,-0.423260169,-0.582698503,104,247,0.022183477,0.156431915,0.533869415,0.100551152,-0.008137393,22,7,32,3,-0.008137393,0.05204632,0.253181822,0.532648907,0.341934385
I01,VEB,104,257,0.197606034,0.408568179,-0.372874795,-0.823583479,-0.372874795,3,4,16,9,-0.372874795,-0.372874795,-0.583312864,-0.583312864,-0.743226547,104,257,0.065978805,0.117551716,0.641113294,0.114029803,0.065185318,27,2,31,2,0.065185318,0.07798166,0.135853718,0.548770546,0.508395943
I01,VEB,104,241,0.587268901,0.371348905,-0.365664497,-0.82606362,-0.365664497,3,18,29,8,-0.365664497,-0.365664497,-0.586199827,-0.586199827,-0.74991378,104,241,0.14160974,0.102964461,0.651473611,0.092636858,-0.205570018,28,28,58,2,-0.205570018,-0.163123966,0.074173211,0.545334224,0.41764068
I01,VEB,100,237,0.054105252,0.614636442,0.496736168,-0.33115476,-0.478513631,23,24,54,7,-0.478513631,-0.379820702,-0.108071569,0.292605208,0.36223804,100,237,0.148318968,0.123075732,0.445750398,0.008563,0.082189577,18,10,32,4,0.082189577,0.127180073,0.323392517,0.445750398,0.199858223
I01,VEB,104,224,-0.08466758,0.773790936,-0.249817148,-0.647234922,-0.249817148,4,3,15,8,-0.249817148,-0.249817148,-0.391430537,-0.533223445,-0.630750519,104,224,0.209826564,-0.003241526,0.564262871,-0.010557791,0.186171871,19,4,25,2,0.186171871,0.25247117,0.476845362,0.542180005,0.179252794
I01,VEB,105,217,0.284562135,0.438581109,-0.335293018,-0.685538517,-0.335293018,3,5,15,7,-0.335293018,-0.335293018,-0.532908587,-0.532908587,-0.661895462,105,217,-0.103850727,0.143939602,0.512927911,0.07022719,-0.127716959,38,7,49,4,-0.127716959,-0.08913059,-0.054576117,0.070917192,0.512927911
I01,VEB,103,213,0.168782847,0.334125807,-0.273123437,-0.706916045,-0.273123437,3,4,15,8,-0.273123437,-0.273123437,-0.465997166,-0.465997166,-0.622255615,103,213,0.112332066,0.131567401,0.549505633,0.105685966,0.084542466,20,5,28,3,0.084542466,0.18552672,0.411884852,0.549505633,0.291890547
I01,VEB,104,215,0.324540427,0.383161863,-0.181653721,-0.577586381,-0.181653721,3,5,15,7,-0.181653721,-0.181653721,-0.373770709,-0.373770709,-0.518154324,104,215,0.068546944,0.118228076,0.586503649,0.064366508,0.045278945,20,5,29,4,0.045278945,0.161546084,0.446403501,0.578757719,0.264978178
I01,VEB,105,212,0.017952779,0.15837234,-0.538701548,-1.667371718,-0.538701548,4,4,17,9,-0.538701548,-0.538701548,-0.872884276,-1.222011802,-1.509805877,105,212,0.126796027,-0.42159922,0.860295276,-0.682778607,0.070472374,34,8,57,15,0.070472374,0.248012634,0.846773986,0.268242164,0.011465622
